kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 80 : 64 384 0 0 0 0 0 0 0 
_1.ptx 78 : 64 320 256 0 0 16 16 0 0 
_1.ptx 67 : 64 448 0 0 0 0 0 0 0 
_1.ptx 66 : 64 704 0 0 0 0 0 0 0 
_1.ptx 65 : 64 708 0 0 0 0 0 0 0 
_1.ptx 64 : 64 384 0 0 0 0 0 0 0 
_1.ptx 62 : 64 384 0 0 0 0 0 0 0 
_1.ptx 63 : 64 384 0 0 0 0 0 0 0 
_1.ptx 68 : 64 640 0 0 0 0 0 0 0 
_1.ptx 69 : 64 17028 128 0 0 0 0 0 0 
_1.ptx 70 : 64 704 0 0 0 0 0 0 0 
_1.ptx 71 : 64 18748 256 0 0 16 16 0 0 
_1.ptx 72 : 64 200 0 0 0 0 0 0 0 
_1.ptx 73 : 64 704 0 0 0 0 0 0 0 
_1.ptx 74 : 64 18596 256 0 0 16 16 0 0 
_1.ptx 75 : 64 9728 0 0 0 0 0 0 0 
_1.ptx 76 : 64 192 0 0 0 0 0 0 0 
_1.ptx 77 : 64 704 0 0 0 0 0 0 0 
